sample_id,snli_id,pred_label,c,n,e,agg_human_conf
0,1947351225.jpg#0r1c,contradiction,0.8382804503582395,0.1555783009211873,0.00511770726714432,0.8382804503582395
1,3626964430.jpg#0r1e,entailment,0.012282497441146366,0.10133060388945753,0.8853633572159673,0.8853633572159673
2,4576144189.jpg#3r1e,entailment,0.01023541453428864,0.037871033776867964,0.9508700102354145,0.9508700102354145
3,507370108.jpg#3r1n,neutral,0.042988741044012284,0.8648925281473899,0.09109518935516889,0.8648925281473899
4,3361210233.jpg#0r1n,neutral,0.2517911975435005,0.5649948822927329,0.18219037871033777,0.5649948822927329
5,3512127856.jpg#2r1n,neutral,0.14227226202661208,0.7881269191402251,0.06857727737973388,0.7881269191402251
6,6775386430.jpg#1r1n,neutral,0.2896622313203685,0.6908904810644831,0.017400204708290685,0.6908904810644831
7,3433982387.jpg#1r1n,entailment,0.006141248720573183,0.019447287615148412,0.9723643807574207,0.9723643807574207
8,358127240.jpg#4r1n,neutral,0.017400204708290685,0.7492323439099283,0.2323439099283521,0.7492323439099283
9,4919196839.jpg#0r1e,entailment,0.0040941658137154556,0.032753326509723645,0.962128966223132,0.962128966223132
10,2550027486.jpg#3r1n,neutral,0.0255885363357216,0.7758444216990789,0.19754350051177072,0.7758444216990789
11,5635975939.jpg#3r1c,neutral,0.4247697031729785,0.5578300921187308,0.016376663254861822,0.5578300921187308
12,4900546628.jpg#2r1n,neutral,0.09007164790174002,0.7533265097236438,0.1555783009211873,0.7533265097236438
13,7786624414.jpg#2r1c,contradiction,0.7001023541453428,0.28147389969293757,0.017400204708290685,0.7001023541453428
14,2731171552.jpg#1r1c,neutral,0.46980552712384854,0.5087001023541453,0.02047082906857728,0.5087001023541453
15,2895548671.jpg#2r1n,neutral,0.01842374616171955,0.8188331627430911,0.1617195496417605,0.8188331627430911
16,4937760948.jpg#4r1e,entailment,0.0030706243602865915,0.01842374616171955,0.977482088024565,0.977482088024565
17,75204250.jpg#2r1n,neutral,0.057318321392016376,0.8536335721596725,0.08802456499488229,0.8536335721596725
18,2916012955.jpg#4r1n,neutral,0.022517911975435005,0.8751279426816786,0.10133060388945753,0.8751279426816786
19,2496713113.jpg#3r1c,neutral,0.49129989764585463,0.5015353121801432,0.006141248720573183,0.5015353121801432
20,4351734575.jpg#0r1e,neutral,0.042988741044012284,0.6264073694984647,0.3295803480040942,0.6264073694984647
21,7067778185.jpg#2r1e,entailment,0.03172978505629478,0.10747185261003071,0.8597748208802457,0.8597748208802457
22,4923755473.jpg#1r1n,entailment,0.04196519959058342,0.21699078812691913,0.7400204708290685,0.7400204708290685
23,956164675.jpg#2r1e,entailment,0.01330603889457523,0.3664278403275333,0.6192425793244627,0.6192425793244627
24,3590653633.jpg#4r1c,neutral,0.3592630501535312,0.5987717502558854,0.04094165813715456,0.5987717502558854
25,3469609037.jpg#1r1n,neutral,0.027635619242579325,0.81985670419652,0.15148413510747186,0.81985670419652
26,87938334.jpg#1r1e,entailment,0.0255885363357216,0.31525076765609006,0.6581371545547595,0.6581371545547595
27,3309042087.jpg#4r1n,neutral,0.015353121801432957,0.797338792221085,0.1862845445240532,0.797338792221085
28,7060264119.jpg#2r1c,contradiction,0.4882292732855681,0.3694984646878199,0.14124872057318322,0.4882292732855681
29,3386694897.jpg#3r1e,entailment,0.0030706243602865915,0.10951893551688843,0.8863868986693961,0.8863868986693961
30,4291704682.jpg#3r1n,neutral,0.07778915046059365,0.714431934493347,0.2067553735926305,0.714431934493347
31,2178095150.jpg#2r1c,contradiction,0.6980552712384852,0.28863868986693964,0.012282497441146366,0.6980552712384852
32,3543378438.jpg#1r1c,neutral,0.2128966223132037,0.7379733879222109,0.048106448311156604,0.7379733879222109
33,2858757067.jpg#3r1e,neutral,0.012282497441146366,0.5475946775844421,0.4390992835209826,0.5475946775844421
34,4573386995.jpg#1r1c,contradiction,0.5158648925281474,0.45445240532241554,0.028659160696008188,0.5158648925281474
35,4829253619.jpg#4r1c,neutral,0.31832139201637666,0.6653019447287615,0.015353121801432957,0.6653019447287615
36,3163477256.jpg#4r1n,entailment,0.007164790174002047,0.05322415557830092,0.9385875127942682,0.9385875127942682
37,31648340.jpg#1r1n,neutral,0.01330603889457523,0.5005117707267144,0.4851586489252815,0.5005117707267144
38,2965189317.jpg#2r1n,neutral,0.027635619242579325,0.6274309109518935,0.34390992835209827,0.6274309109518935
39,3600403707.jpg#2r1c,neutral,0.17400204708290687,0.8137154554759468,0.011258955987717503,0.8137154554759468
40,430292291.jpg#2r1c,neutral,0.406345957011259,0.5649948822927329,0.027635619242579325,0.5649948822927329
41,2983889345.jpg#4r1n,entailment,0.0368474923234391,0.4053224155578301,0.5568065506653019,0.5568065506653019
42,2760167.jpg#4r1c,neutral,0.4872057318321392,0.4882292732855681,0.02354145342886387,0.4882292732855681
43,4676792744.jpg#2r1c,contradiction,0.5414534288638689,0.4124872057318321,0.04503582395087001,0.5414534288638689
44,168728234.jpg#2r1n,entailment,0.011258955987717503,0.24872057318321392,0.7389969293756398,0.7389969293756398
45,2970162432.jpg#0r1e,entailment,0.01330603889457523,0.12282497441146366,0.8628454452405322,0.8628454452405322
46,218854747.jpg#3r1n,neutral,0.13817809621289662,0.5015353121801432,0.3592630501535312,0.5015353121801432
47,2979997455.jpg#0r1n,neutral,0.14943705220061412,0.834186284544524,0.015353121801432957,0.834186284544524
48,4360937435.jpg#3r1n,neutral,0.015353121801432957,0.5363357215967247,0.44728761514841353,0.5363357215967247
49,2959165388.jpg#4r1e,neutral,0.04503582395087001,0.7993858751279427,0.15455475946775846,0.7993858751279427
50,4910374312.jpg#4r1e,entailment,0.007164790174002047,0.02456499488229273,0.9672466734902764,0.9672466734902764
51,4520820052.jpg#1r1c,neutral,0.23336745138178097,0.6704196519959058,0.09518935516888434,0.6704196519959058
52,3574847368.jpg#0r1c,contradiction,0.5721596724667349,0.4155578300921187,0.011258955987717503,0.5721596724667349
53,408627152.jpg#3r1c,neutral,0.3705220061412487,0.617195496417605,0.011258955987717503,0.617195496417605
54,3873342570.jpg#2r1c,contradiction,0.6939611054247697,0.2835209825997953,0.021494370522006142,0.6939611054247697
55,5975778602.jpg#1r1e,entailment,0.007164790174002047,0.048106448311156604,0.9437052200614124,0.9437052200614124
56,6156372684.jpg#1r1c,contradiction,0.6888433981576254,0.2906857727737973,0.019447287615148412,0.6888433981576254
57,339800370.jpg#0r1c,contradiction,0.8607983623336745,0.1269191402251791,0.011258955987717503,0.8607983623336745
58,152979089.jpg#4r1c,contradiction,0.6141248720573184,0.28761514841351077,0.09723643807574207,0.6141248720573184
59,2849864963.jpg#0r1n,neutral,0.05629477993858751,0.9242579324462641,0.01842374616171955,0.9242579324462641
60,4758348295.jpg#2r1e,entailment,0.008188331627430911,0.406345957011259,0.5844421699078812,0.5844421699078812
61,3655773435.jpg#0r1n,neutral,0.00511770726714432,0.6693961105424769,0.32446264073694986,0.6693961105424769
62,3933863527.jpg#3r1c,contradiction,0.49744114636642783,0.4687819856704197,0.032753326509723645,0.49744114636642783
63,6659698.jpg#3r1e,entailment,0.01023541453428864,0.19651995905834185,0.7922210849539406,0.7922210849539406
64,2908391335.jpg#4r1e,entailment,0.03582395087001024,0.0849539406345957,0.8781985670419652,0.8781985670419652
65,3427852996.jpg#4r1e,entailment,0.009211873080859774,0.062436028659160696,0.9273285568065507,0.9273285568065507
66,4717499333.jpg#4r1e,entailment,0.12896622313203684,0.37768679631525076,0.4923234390992835,0.4923234390992835
67,2175758177.jpg#1r1n,neutral,0.06448311156601842,0.7512794268167861,0.18321392016376664,0.7512794268167861
68,3456488632.jpg#2r1e,entailment,0.01330603889457523,0.02456499488229273,0.9611054247697032,0.9611054247697032
69,961664774.jpg#2r1e,entailment,0.014329580348004094,0.04912998976458546,0.9355168884339816,0.9355168884339816
70,2775461796.jpg#2r1c,contradiction,0.6008188331627431,0.38075742067553736,0.017400204708290685,0.6008188331627431
71,8089660385.jpg#3r1n,contradiction,0.5670419651995906,0.34083930399181167,0.09109518935516889,0.5670419651995906
72,248698033.jpg#2r1n,neutral,0.09825997952917093,0.8802456499488229,0.02047082906857728,0.8802456499488229
73,3011809448.jpg#3r1n,entailment,0.0030706243602865915,0.016376663254861822,0.9795291709314228,0.9795291709314228
74,26720379.jpg#4r1n,neutral,0.015353121801432957,0.6438075742067554,0.3398157625383828,0.6438075742067554
75,7712223846.jpg#1r1e,entailment,0.01330603889457523,0.15455475946775846,0.8311156601842374,0.8311156601842374
76,8040947572.jpg#2r1c,contradiction,0.646878198567042,0.33162743091095187,0.019447287615148412,0.646878198567042
77,4637341301.jpg#3r1n,entailment,0.0030706243602865915,0.08290685772773797,0.9119754350051177,0.9119754350051177
78,3060969260.jpg#3r1n,neutral,0.0992835209825998,0.8659160696008188,0.033776867963152504,0.8659160696008188
79,2800531753.jpg#0r1n,neutral,0.06857727737973388,0.7952917093142272,0.13510747185261002,0.7952917093142272
80,3611694228.jpg#3r1n,neutral,0.02047082906857728,0.5854657113613101,0.3930399181166837,0.5854657113613101
81,8025717431.jpg#3r1c,contradiction,0.9631525076765609,0.03172978505629478,0.0040941658137154556,0.9631525076765609
82,2258951972.jpg#4r1n,entailment,0.0040941658137154556,0.017400204708290685,0.977482088024565,0.977482088024565
83,7671851684.jpg#0r1e,entailment,0.02354145342886387,0.43193449334698053,0.5435005117707267,0.5435005117707267
84,3208999896.jpg#4r1c,neutral,0.4524053224155578,0.5312180143295804,0.015353121801432957,0.5312180143295804
85,3381788544.jpg#0r1c,contradiction,0.6407369498464688,0.3510747185261003,0.007164790174002047,0.6407369498464688
86,3070485870.jpg#3r1n,neutral,0.019447287615148412,0.6949846468781986,0.28454452405322417,0.6949846468781986
87,4788967880.jpg#0r1n,neutral,0.05629477993858751,0.8290685772773797,0.11361310133060389,0.8290685772773797
88,4831683216.jpg#0r1c,neutral,0.38075742067553736,0.5547594677584442,0.06345957011258956,0.5547594677584442
89,3030015033.jpg#2r1n,neutral,0.028659160696008188,0.8474923234390993,0.12282497441146366,0.8474923234390993
