model_1,model_2,ALL_KL,ALL_JSD,ALL_MSE,AGREE_PCT,AGREE_KL,AGREE_JSD,AGREE_MSE,DISAGREE_PCT,DISAGREE_KL,DISAGREE_JSD,DISAGREE_MSE
davinci,lstm,0.8648975,0.48411094534794846,0.1718023744618976,0.54,0.55034703,0.4091156435323836,0.09464327330283273,0.46,1.2341521,0.572148908348829,0.26238044973558244
davinci,random,0.97325426,0.523183446156015,0.1946125495558039,0.38,0.985873,0.5270238523998472,0.19701421689641277,0.62,0.96552014,0.5208296487807631,0.1931405598954308
davinci,roberta,2.0996873,0.39419988563570757,0.2476330036021485,0.58,0.34567854,0.14562515389429975,0.02201559322474053,0.42,4.5218897,0.7374697532786041,0.5591999036471403
davinci,tfidf,1.0629485,0.4879948336311503,0.2096369388866007,0.46,0.45316753,0.34903042493910413,0.08181431228380041,0.54,1.5823914,0.6063719225169675,0.31852288006676394
davinci,human,0.7032387,0.3847424731588026,0.14773555631218813,0.62,0.3293823,0.2872144253242644,0.05601908291534687,0.38,1.313215,0.5438671827835756,0.29737822343335013
lstm,davinci,3.542959,0.48411094534794846,0.1718023744618976,0.54,2.7255702,0.4091156435323836,0.09464327330283273,0.46,4.502502,0.572148908348829,0.26238044973558244
lstm,random,0.09194417,0.13574433694428825,0.019430269367908443,0.32,0.10643852,0.149705597974442,0.02297392732163181,0.68,0.08512331,0.1291743317536277,0.0177626656249798
lstm,roberta,1.8121786,0.40576804852834053,0.10213977943550469,0.88,1.8552231,0.40360876027949694,0.09703858093863031,0.12,1.4965204,0.42160282901986074,0.13954856841258345
lstm,tfidf,0.28218183,0.20746850824528604,0.04586734224775966,0.56,0.21444532,0.1606365523949505,0.024323330375860513,0.44,0.3683919,0.2670728156911677,0.07328699372108582
lstm,human,0.54382306,0.28994260454774845,0.055535929458664944,0.74,0.525604,0.27607243542614124,0.04630799807302261,0.26,0.5956773,0.3294192397400148,0.08180004186395465
random,davinci,4.1776853,0.523183446156015,0.1946125495558039,0.38,4.55424,0.5270238523998472,0.19701421689641277,0.62,3.9468932,0.5208296487807631,0.1931405598954308
random,lstm,0.068711676,0.13574433694428825,0.019430269367908443,0.32,0.08233023,0.149705597974442,0.02297392732163181,0.68,0.062302947,0.1291743317536277,0.0177626656249798
random,roberta,2.8265119,0.5118530579667879,0.1931866638976827,0.36,2.874543,0.5158238754033571,0.19477812113407336,0.64,2.7994945,0.5096194731587178,0.19229146920221296
random,tfidf,0.3584964,0.2292188792227247,0.05574315969824637,0.42,0.38241085,0.2351400792822101,0.06060065554969119,0.58,0.341179,0.22493111366240773,0.05222566270237256
random,human,0.9047905,0.36770190729784313,0.1016635209965683,0.34,0.9137919,0.38300308134028765,0.11507720855613855,0.66,0.9001533,0.3598194843062808,0.09475343952648667
roberta,davinci,2.571118,0.39419988563570757,0.2476330036021485,0.58,0.26989615,0.14562515389429975,0.02201559322474053,0.42,5.7489963,0.7374697532786041,0.5591999036471403
roberta,lstm,0.5545622,0.40576804852834053,0.10213977943550469,0.88,0.5378365,0.40360876027949694,0.09703858093863031,0.12,0.6772178,0.42160282901986074,0.13954856841258345
roberta,random,0.9452357,0.5118530579667879,0.1931866638976827,0.36,0.9557434,0.5158238754033571,0.19477812113407336,0.64,0.9393253,0.5096194731587178,0.19229146920221296
roberta,tfidf,0.7880198,0.4314974595591864,0.16204223346787938,0.6,0.41518542,0.3314164406920173,0.07479021965319786,0.4,1.3472712,0.5816189878599402,0.2929202541899017
roberta,human,0.35719886,0.27422687459885065,0.07766565029475309,0.76,0.21248998,0.2203803602920221,0.038090382727065275,0.24,0.8154437,0.4447408365704744,0.20298733092576457
tfidf,davinci,3.8591425,0.4879948336311503,0.2096369388866007,0.46,2.2598069,0.34903042493910413,0.08181431228380041,0.54,5.22154,0.6063719225169675,0.31852288006676394
tfidf,lstm,0.21477278,0.20746850824528604,0.04586734224775966,0.56,0.13195926,0.1606365523949505,0.024323330375860513,0.44,0.3201717,0.2670728156911677,0.07328699372108582
tfidf,random,0.26726747,0.2292188792227247,0.05574315969824637,0.42,0.28741345,0.2351400792822101,0.06060065554969119,0.58,0.252679,0.22493111366240773,0.05222566270237256
tfidf,roberta,2.3092368,0.4314974595591864,0.16204223346787938,0.6,1.38549,0.3314164406920173,0.07479021965319786,0.4,3.6948566,0.5816189878599402,0.2929202541899017
tfidf,human,0.87692034,0.34786525953175007,0.10680956298856303,0.46,0.456574,0.2517623096046731,0.049901224896705586,0.54,1.2349931,0.42973073539555623,0.15528703617792305
human,davinci,2.1897483,0.3847424731588026,0.14773555631218813,0.62,1.2482473,0.2872144253242644,0.05601908291534687,0.38,3.7258818,0.5438671827835756,0.29737822343335013
human,lstm,0.3084911,0.28994260454774845,0.055535929458664944,0.74,0.26998597,0.27607243542614124,0.04630799807302261,0.26,0.41808268,0.3294192397400148,0.08180004186395465
human,random,0.5137279,0.36770190729784313,0.1016635209965683,0.34,0.5593568,0.38300308134028765,0.11507720855613855,0.66,0.49022207,0.3598194843062808,0.09475343952648667
human,roberta,1.0494921,0.27422687459885065,0.07766565029475309,0.76,0.7118558,0.2203803602920221,0.038090382727065275,0.24,2.1186733,0.4447408365704744,0.20298733092576457
human,tfidf,0.5586159,0.34786525953175007,0.10680956298856303,0.46,0.31032053,0.2517623096046731,0.049901224896705586,0.54,0.7701268,0.42973073539555623,0.15528703617792305
