sample_id,content,gold_label,agg_human_label,agg_human_confidence,machine_4_pred,machine_4_confidence,confidence_diff
63,"Part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole .",0.0,-1.0,0.6816816816816816,-1.0,0.442290895016005,0.23939078666567665
71,"There 's no mistaking the fact that this hybrid misses the impact of the Disney classic , and even that of the excellent 1934 MGM version .",0.0,-1.0,0.6156156156156156,-1.0,0.430185548494635,0.18543006712098065
41,"You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",0.0,1.0,0.4934934934934935,1.0,0.342974130763998,0.15051936272949545
54,"It 's a flashy , star-splashed reduction .",0.0,-1.0,0.4854854854854855,-1.0,0.36552405877864,0.11996142670684545
33,"Still , it gets the job done -- a sleepy afternoon rental .",-1.0,1.0,0.4314314314314314,1.0,0.543123988618488,0.11169255718705656
88,In a word -- yes .,0.0,1.0,0.3533533533533533,1.0,0.457011756976879,0.10365840362352569
95,"The story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?",0.0,-1.0,0.5745745745745746,-1.0,0.478104403522391,0.09647017105218364
58,"Literally nothing in The Pool is new , but if you grew up on the stalker flicks of the 1980 's this one should appease you for 90 minutes .",0.0,1.0,0.4154154154154154,1.0,0.510060127664207,0.09464471224879167
24,Ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made Christmas card .,0.0,-1.0,0.3943943943943944,-1.0,0.469637314702811,0.07524292030841662
2,"Hip-hop has a history , and it 's a metaphor for this love story .",0.0,1.0,0.4234234234234234,1.0,0.480564474217926,0.0571410507945026
73,This ill-fitting Tuxedo is strictly off-the-rack .,0.0,-1.0,0.4644644644644645,-1.0,0.517365778938203,0.052901314473738525
67,The average local news columnist has a bigger rant on the war between modern landscape architecture and small-town America .,0.0,-1.0,0.4164164164164164,-1.0,0.452828490997559,0.036412074581142595
55,It 's a worse sign when you begin to envy her condition .,0.0,-1.0,0.4224224224224224,-1.0,0.4563158048176,0.033893382395177585
30,Several degrees shy of the gross-out contests one expects from current teen fare .,0.0,-1.0,0.4574574574574575,-1.0,0.441664969216382,0.015792488241075486
61,Morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,0.0,-1.0,0.4044044044044044,-1.0,0.397087621214872,0.007316783189532383
