sample_id,sentence_1,sentence_2,word,gold_label,agg_human_label,agg_human_confidence,machine_1_pred,machine_1_confidence,confidence_diff
15,The French try to sell us their image as great lovers,The new idea sold well in certain circles,sell,0.0,0.0,0.5,0.0,0.9978329979464792,0.49783299794647917
7,divaricate one 's fingers,The road divaricates here,divaricate,0.0,0.0,0.5,0.0,0.969622126201663,0.469622126201663
44,restore the emperor to the throne,To restore harmony among those who are at variance,restore,1.0,1.0,1.0,1.0,0.9010172105021648,0.09898278949783523
10,The first violin part in this concerto is very challenging .,he tried to sing the tenor part,part,1.0,1.0,1.0,1.0,0.9080401439131884,0.09195985608681156
45,a bomb scare led them to evacuate the building,a war scare,scare,1.0,1.0,1.0,1.0,0.958210439198496,0.04178956080150398
30,celebrate Christmas,To celebrate a birthday,celebrate,1.0,1.0,1.0,1.0,0.965021363062104,0.034978636937896046
41,baste a roast,baste a hem,baste,0.0,0.0,1.0,0.0,0.966737914245326,0.03326208575467404
47,The lung cancer patient can not inspire air very well,The patient has trouble inspiring,inspire,1.0,1.0,1.0,1.0,0.9881639813301896,0.011836018669810433
16,a schoolgirl fantasy,she made a lot of money writing romantic fantasies,fantasy,0.0,0.0,1.0,0.0,0.9920391199910236,0.007960880008976434
33,the ancients believed that blood was the seat of the emotions,blood carries oxygen and nutrients to the tissues and carries away waste products,blood,0.0,0.0,1.0,0.0,0.993826466750954,0.006173533249046015
22,erupt in anger,Unrest erupted in the country,erupt,0.0,0.0,1.0,0.0,0.9939809610323472,0.006019038967652768
37,I suspect him of being the thief .,The U.S. suspected Bin Laden as the mastermind behind the terrorist attacks,suspect,1.0,1.0,1.0,1.0,0.9967644575855062,0.003235542414493753
4,his girlfriend kicked him out,Marc went to the park with his girlfriend and watched the sunset with her .,girlfriend,1.0,1.0,1.0,1.0,0.9971714394370086,0.0028285605629914112
39,She intended to devour the book .,She devoured his novels,devour,1.0,1.0,1.0,1.0,0.9976990043584284,0.0023009956415716015
40,You must comply or else !,He complied with my instructions,comply,1.0,1.0,1.0,1.0,0.9977152759641768,0.002284724035823249
26,working mothers rely on the day care program,you ca n't tell the players without a program,program,0.0,0.0,1.0,0.0,0.9977684438319429,0.002231556168057147
31,To hedge a field or garden,hedge the property,hedge,1.0,1.0,1.0,1.0,0.9977977714712674,0.0022022285287326415
20,Pleistocene vegetation,their holiday was spent in sleep and vegetation,vegetation,0.0,0.0,1.0,0.0,0.998225198426292,0.001774801573708018
23,the skirt had a wide flare,she could not control her flare of rage,flare,0.0,0.0,1.0,0.0,0.9982297288816356,0.0017702711183643638
6,we enjoyed our round of the local bars,Hospital rounds,round,0.0,0.0,1.0,0.0,0.9982440921132456,0.0017559078867543931
34,He has a lot of interest in vintage cars .,how much interest do you pay on your mortgage ?,interest,0.0,0.0,1.0,0.0,0.9982544028300728,0.001745597169927171
0,To tune a piano or a violin,My piano needs to be tuned,tune,1.0,1.0,1.0,1.0,0.9982638219039276,0.001736178096072405
32,This story will grab you,Grab power,grab,0.0,0.0,1.0,0.0,0.9983337972596372,0.0016662027403627766
49,Passing grades account for half of the grades given in this exam,I ca n't account for the missing money,account,0.0,0.0,1.0,0.0,0.998413726264262,0.001586273735738053
36,they have a southpaw on the mound,they built small mounds to hide behind,mound,0.0,0.0,1.0,0.0,0.9984658834616844,0.0015341165383155886
5,Give me your hand .,hand the elderly lady into the taxi,hand,0.0,0.0,1.0,0.0,0.9985096326021908,0.001490367397809167
19,mold public opinion,The furniture molded in the old house,mold,0.0,0.0,1.0,0.0,0.998527811733898,0.0014721882661019592
8,Thick cut marmalade,Lime marmalade,marmalade,1.0,1.0,1.0,1.0,0.9985321044141876,0.0014678955858123954
42,stun fish,The news stunned her,stun,0.0,0.0,1.0,0.0,0.9986308678178356,0.0013691321821643898
13,his car has a lot of pickup,put out a pickup on that man,pickup,0.0,0.0,1.0,0.0,0.9987202738487844,0.0012797261512156322
43,market runups are invariably followed by a correction,the correction of his vision with eye glasses,correction,0.0,0.0,1.0,0.0,0.99875061483234,0.0012493851676600443
2,he sat on the bank of the river and watched the currents,that bank holds the mortgage on my home,bank,0.0,0.0,1.0,0.0,0.9987608671598968,0.0012391328401032409
27,The ref missed the call . The ball hit the baseline .,the established a baseline for the budget,baseline,0.0,0.0,1.0,0.0,0.9988103369108768,0.0011896630891231608
24,the capacity of a hard disk drive is usually expressed in megabytes,the plant is working at 80 per cent capacity,capacity,0.0,0.0,1.0,0.0,0.9991025807817046,0.0008974192182954477
